Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Unleashed Saiyan,Cumber,120,10-Jan,UR,Extreme STR,11840,"[""Boost Type"", ""Giant Form (Skill Effect)"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","""Dragon Ball Heroes"" Category Ki +3 and HP, ATK & DEF +50%",Kamehameha,Raises DEF for 1 turn[1] and causes supreme damage to enemy,Plethora of Changes,"ATK & DEF +120%; Super Class allies' Ki +2 and ATK & DEF +30%; plus an additional Ki +2 and ATK & DEF +30% for Super Class allies, an additional ATK +120% and reduces damage received by 30% when there is an ally whose name includes ""Trunks (disambiguation)"" or ""Goten (disambiguation)"" attacking in the same turn; plus an additional damage reduction of 10% and Super Class allies' chance of performing a critical hit +10% when there is a ""Movie Bosses"" Category enemy","[""Pure Saiyans"", ""Time Travelers"", ""Dragon Ball Heroes"", ""Crossover""]","[""1761"", ""5812"", ""7012"", ""8812""]","[""2476"", ""8173"", ""9373"", ""11413""]","[""1192"", ""3935"", ""5135"", ""6695""]",,,,,,,,,,,,,,,,,,,,,,,,,
Super Ghost Prank,Super Saiyan Gotenks & Ghost,120/140,15-Jan,UR,Super INT,11841,"[""Giant Form (Skill Effect)""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Shadow Dragons Assault,Causes colossal damage to enemy and lowers ATK & DEF[1],Staggering Sorcery,"ATK & DEF +70%; plus an additional ATK & DEF +70% when performing a Super Attack; Ki +4 when the target enemy is in ""ATK Down"" or ""DEF Down"" status; ""GT Bosses"" Category allies' Ki +3 and ATK & DEF +30%","[""Fusion"", ""Hybrid Saiyans"", ""Joined Forces"", ""Youth"", ""Super Saiyans"", ""Special Pose"", ""Gifted Warriors"", ""Time Limit""]","[""2298"", ""7586"", ""8786"", ""10586""]","[""2471"", ""8155"", ""9355"", ""11155""]","[""1089"", ""3595"", ""4795"", ""6595""]",,,,,,,,,,,,,,,,,,,,,,,,,
Swelling Power of Evil,Super Saiyan Cumber (Giant Ape Cumber),120,10-Jan,UR,Extreme PHY,11846,"[""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]","Extreme_Class Ki +3 and HP, ATK & DEF +80%",Death Beam,Causes supreme damage with a great chance of stunning the enemy[1],Strategy in Motion,"ATK & DEF +20% per ""Revenge"" Category ally on the team; ""Revenge"" Category allies' Ki +3 and ATK & DEF +30%; performs a critical hit when there is a ""Defenders of Justice"" Category enemy or when all allies attacking in the same turn are ""Revenge"" Category Extreme Class characters","[""Giant Form"", ""Pure Saiyans"", ""Time Travelers"", ""Super Saiyans"", ""Dragon Ball Heroes"", ""Giant Ape Power"", ""Crossover""]","[""2283"", ""7536"", ""9536"", ""12936""]","[""3022"", ""9973"", ""11973"", ""14973""]","[""1454"", ""4801"", ""6801"", ""9401""]",,,,,,,,,,,,,,,,,,,,,,,,,
Swelling Power of Evil,Super Saiyan Cumber (Giant Ape Cumber),120,10-Jan,UR,Extreme PHY,41902,"[""Boost Category"", ""Change Ki Spheres"", ""Diverse Super Attack"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Seal Super Attack""]","Extreme_Class Ki +3 and HP, ATK & DEF +80%",Kamehameha,"Greatly raises ATK and raises DEF for 1 turn[1], causes immense damage to enemy and greatly lowers DEF[2]",Wristwatch of Transformation,"ATK +180% and DEF +120%; randomly changes Ki Spheres of a certain Type to Rainbow Ki Ki Spheres; plus an additional ATK +20% when performing a Super Attack per Ki Sphere obtained; plus an additional DEF +50% per ""GT Heroes"" Category ally (self excluded) attacking in the same turn","[""Giant Form"", ""Pure Saiyans"", ""Time Travelers"", ""Super Saiyans"", ""Dragon Ball Heroes"", ""Giant Ape Power"", ""Crossover""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""45000"", ""55000"", ""57000"", ""60000""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",,,,,,,,,,,,,,,,,,,,,,,,,
Tenacious Saiyan,Super Saiyan Goku,120,10-Jan,UR,Super AGL,11848,"[""Disable Guard"", ""Evasion"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery (Ki Sphere)"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","""Super Saiyans"" Category Ki +3 and HP, ATK & DEF +100%",Galick Gun,"Greatly raises ATK and raises DEF for 1 turn[1], causes immense damage to enemy and greatly lowers DEF[2]",Dashing Transformation,"ATK +180% and DEF +120%; randomly changes Ki Spheres of a certain Type to Rainbow Ki Ki Spheres; plus an additional ATK & DEF +10% when performing a Super Attack per Ki Sphere obtained; plus an additional ATK +50% per ""GT Heroes"" Category ally (self excluded) attacking in the same turn","[""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Super Saiyans"", ""Turtle School""]","[""2935"", ""9686"", ""11686"", ""14286""]","[""2878"", ""9500"", ""11500"", ""14500""]","[""1398"", ""4614"", ""6614"", ""10014""]",,,,,,,,,,,,,,,,,,,,,,,,,
Miracle-Making Super Saiyan,Super Saiyan Goku,150,20-Jan,LR,Super AGL,11849,"[""Boost Category"", ""Damage Reduction"", ""Foresee Super Attack"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Super Saiyans"" Category Ki +4 and HP, ATK & DEF +130%",Brave Sword Attack,Causes supreme damage to enemy and lowers ATK & DEF[1],Steady and Calm Ki,"ATK & DEF +100%; ""Storied Figures"" Category allies' Ki +1 and ATK & DEF +10%; ""Siblings' Bond"" Category allies' Ki +1 and ATK & DEF +10%; reduces damage received by 10% within the same turn when performing a Super Attack","[""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Super Saiyans"", ""Final Trump Card"", ""Connected Hope"", ""Turtle School""]","[""5636"", ""18600"", ""20600"", ""23200""]","[""4783"", ""15785"", ""17785"", ""20785""]","[""2604"", ""8594"", ""10594"", ""13994""]",,,,,,,,,,,,,,,,,,,,,,,,,
The Tiniest Top-Notch Hero,Vegito (Candy),120/140,15-Jan,UR,Super TEQ,11850,"[""Attack Effective to All"", ""Boost All"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Brave Sword Attack,Causes colossal damage to enemy and lowers ATK & DEF[1],Experience from Real Fights,"ATK & DEF +130%; ""Storied Figures"" Category allies' Ki +2 and ATK & DEF +20%; ""Siblings' Bond"" Category allies' Ki +2 and ATK & DEF +20%; medium chance[4] of launching an additional Super Attack when performing an Ultra Super Attack; reduces damage received by 13% within the same turn with each Super Attack performed","[""Majin Buu Saga"", ""Potara"", ""Final Trump Card"", ""Battle of Wits""]","[""1731"", ""5714"", ""6914"", ""8474""]","[""2372"", ""7829"", ""9029"", ""11069""]","[""1496"", ""4938"", ""6138"", ""7938""]",,,,,,,,,,,,,,,,,,,,,,,,,
Revenge Technology,Androids #14 & #15,120,10-Jan,UR,Extreme PHY,11852,"[""Damage Reduction"", ""Lower ATK"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Target: Goku"" Category Ki +3 and HP, ATK & DEF +50%",Deadly Metal Needles,"Greatly raises DEF for 1 turn[1], raises ATK[2], causes supreme damage to enemy and lowers ATK[3]",Powerful Counterattack,"DEF +120% at start of turn; ATK +120% when performing a Super Attack; ""GT Bosses"" Category allies' Ki +2 and DEF +40%; plus an additional ATK & DEF +60%, attacks effective against all Types and high chance[4] of stunning the attacked enemy for 2 turns when there is a ""GT Heroes"" Category enemy; recovers 5% HP at the end of the turn in which an attack was received","[""Androids"", ""Joined Forces"", ""Artificial Life Forms"", ""Target: Goku""]","[""2280"", ""7525"", ""8725"", ""10765""]","[""2353"", ""7768"", ""8968"", ""10768""]","[""1086"", ""3584"", ""4784"", ""6344""]",,,,,,,,,,,,,,,,,,,,,,,,,
Final Super Power,Super Saiyan God SS Goku (Kaioken),120,10-Jan,UR,Super STR,11854,"[""Boost Category"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stack Attack""]","""Representatives of Universe 7"" or ""Universe Survival Saga"" Category Ki +3, HP +130% and ATK & DEF +170%",Shining Slash,Raises ATK[1] and causes supreme damage to enemy,Secretly Punishing Villains,"ATK & DEF +70%; plus an additional ATK & DEF +50% when performing a Super Attack; medium chance[2] of performing a critical hit; plus an additional ATK & DEF +7% per ""Movie Heroes"" Category ally on the team; attacked enemy's ATK -20% for 2 turns and all allies' DEF +30% when there is an ally whose name includes ""Tapion (disambiguation)"" on the team","[""Universe Survival Saga"", ""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Representatives of Universe 7"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Final Trump Card"", ""All-Out Struggle"", ""Turtle School"", ""Attained Evolution""]","[""3303"", ""10900"", ""12900"", ""15900""]","[""3784"", ""12490"", ""14490"", ""17890""]","[""1837"", ""6063"", ""8063"", ""10663""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ruthless Android,Android #13,120,10-Jan,UR,Extreme STR,11856,"[""Boost Category"", ""Critical Hit"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stun""]",PHY Type enemies' ATK -40%,Twin Galactic Kick,Raises ATK & DEF[1] and causes supreme damage to enemy,Battle Orientation,"Ki +3 and ATK & DEF +150%; plus an additional ATK +40% when performing a Super Attack; launches an additional attack that has a medium chance[2] of becoming a Super Attack; ""Goku's Family"" Category allies' Ki +3 and ATK & DEF +40%; ""Vegeta's Family"" Category allies' Ki +3 and ATK & DEF +40%","[""Movie Bosses"", ""Androids"", ""Artificial Life Forms"", ""Target: Goku""]","[""2700"", ""8910"", ""10110"", ""11910""]","[""2317"", ""7648"", ""8848"", ""10888""]","[""1245"", ""4110"", ""5310"", ""6870""]",,,,,,,,,,,,,,,,,,,,,,,,,
All-Out Resistance,Great Saiyaman (SS),120,10-Jan,UR,Super STR,11858,"[""Additional Attack"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +120%",Brotherhood Combo,Greatly raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Test of Rage,"ATK & DEF +150% when performing a Super Attack; launches an additional attack that has a medium chance[2] of becoming a Super Attack; ""GT Heroes"" Category allies' Ki +3 and ATK & DEF +40%","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Kamehameha"", ""Special Pose"", ""Defenders of Justice""]","[""2404"", ""7936"", ""9936"", ""12936""]","[""2777"", ""9166"", ""11166"", ""14566""]","[""1620"", ""5347"", ""7347"", ""9947""]",,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Wizard and Lord of the Demon Realm,Babidi & Dabura,150,20-Jan,LR,Extreme AGL,11859,"[""Additional Attack"", ""Boost Category"", ""Diverse Super Attack"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Transformation""]","""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +130%",Death Impact,Greatly raises ATK[1] and causes supreme damage to enemy,Supreme Technique,ATK & DEF +160%; plus an additional ATK & DEF +60% and medium chance[2] of stunning the attacked enemy when attacking Super Class enemies; Extreme Class allies' Ki +3 and ATK & DEF +40%; recovers 10% HP at the end of the turn in which an attack was received,"[""Majin Buu Saga"", ""Joined Forces"", ""Terrifying Conquerors""]","[""4007"", ""13224"", ""15224"", ""17824""]","[""3822"", ""12613"", ""14613"", ""17613""]","[""2324"", ""7672"", ""9672"", ""13072""]",,,,,,,,,,,,,,,,,,,,,,,,,
Flaming Reversal of Fortunes,Gogeta,120,10-Jan,UR,Super STR,11861,"[""Additional Attack"", ""Attack Effective to All"", ""Boost Category"", ""Diverse Super Attack"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Final Trump Card"" or ""Fusion"" Category Ki +3 and HP, ATK & DEF +120%",Hell's Storm,"Raises ATK for 1 turn[1], causes supreme damage to enemy and lowers DEF[2]",Attack-Evasion Training,ATK & DEF +150%; reduces damage received by 15% plus an additional ATK +15% for 3 turns after the turn in which an attack was received,"[""Fusion"", ""Movie Heroes"", ""Final Trump Card"", ""Powerful Comeback"", ""Time Limit""]","[""2999"", ""9898""]","[""3097"", ""10223""]","[""1982"", ""3604""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate and Supreme Fusion,Gogeta,150,20-Jan,LR,Super STR,11862,"[""Additional Attack"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Final Trump Card"" or ""Fusion"" Category Ki +3 and HP, ATK & DEF +150%",Hell's Storm,"Raises ATK for 1 turn[1], causes colossal damage to enemy and lowers DEF[2]",Fearless Smile,"ATK & DEF +170%; plus an additional ATK & DEF +17% per ""Androids"" Category ally (self excluded) attacking in the same turn; plus an additional ATK & DEF +17% per ""Target: Goku"" Category ally (self excluded) attacking in the same turn; reduces damage received by 17% plus an additional ATK +17% for 3 turns after the turn in which an attack was received; high chance[4] of Ki +1 with each attack received (up to +7)","[""Fusion"", ""Realm of Gods"", ""Transformation Boost"", ""Movie Heroes"", ""Kamehameha"", ""Final Trump Card"", ""Powerful Comeback"", ""Time Limit""]","[""5765"", ""19025"", ""21025"", ""24025""]","[""5221"", ""17230"", ""19230"", ""22630""]","[""1992"", ""6575"", ""8575"", ""11175""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate and Supreme Fusion,Super Saiyan God SS Gogeta,150,20-Jan,LR,Super STR,41797,"[""Additional Attack"", ""Boost Category"", ""Diverse Super Attack"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Transformation""]","""Final Trump Card"" or ""Fusion"" Category Ki +3 and HP, ATK & DEF +150%",Mighty Rivals' Whirlwind Dance,"Raises ATK & DEF for 1 turn[1], causes supreme damage to enemy and lowers DEF[2]",Fight for Father,ATK & DEF +100% when performing a Super Attack; high chance[3] of launching an additional attack; plus an additional Ki +1 (up to +4) and ATK & DEF +10% (up to 40%) with each attack performed,"[""Fusion"", ""Realm of Gods"", ""Transformation Boost"", ""Movie Heroes"", ""Kamehameha"", ""Final Trump Card"", ""Powerful Comeback"", ""Time Limit""]","[""5765"", ""19025"", ""21025"", ""24025""]","[""5221"", ""17230"", ""19230"", ""22630""]","[""1992"", ""6575"", ""8575"", ""11175""]",,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Comeback,Vegito,120,10-Jan,UR,Super TEQ,11864,"[""Additional Attack"", ""Boost Category"", ""Diverse Super Attack"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Final Trump Card"" or ""Potara"" Category Ki +3 and HP, ATK & DEF +120%",Mighty Rivals' Whirlwind Dance,"Raises ATK & DEF for 1 turn[1], causes colossal damage to enemy and lowers DEF[2]",Fight for Friends,ATK & DEF +120% when performing a Super Attack; high chance[4] of launching up to 2 additional attacks; plus an additional Ki +1 (up to +6) and ATK & DEF +10% (up to 59%) with each attack performed; launches an additional Super Attack when HP is 59% or less after performing 6 or more attacks in battle,"[""Potara"", ""Future Saga"", ""Time Travelers"", ""Final Trump Card"", ""Battle of Wits"", ""Time Limit""]","[""3128"", ""10324"", ""12324"", ""14924""]","[""3020"", ""9968"", ""11968"", ""15368""]","[""1124"", ""3710"", ""5710"", ""8710""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate and Invincible Fusion,Vegito,150,20-Jan,LR,Super TEQ,11865,"[""Boost All"", ""Change Ki Spheres"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery (Ki Sphere)""]","""Final Trump Card"" or ""Potara"" Category Ki +3 and HP, ATK & DEF +150%",Super Ghost Kamikaze Attack,"Raises DEF for 1 turn[1], causes supreme damage to all enemies with a medium chance of stunning them[2]",Parents' Love,"ATK & DEF +120%; plus an additional ATK & DEF +70% and high chance[3] of performing a critical hit when facing only 1 enemy; launches an additional attack that has a high chance[4] of becoming a Super Attack when facing 2 or more enemies; ""Time Limit"" Category allies' Ki +3 and ATK & DEF +40%","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Transformation Boost"", ""Time Travelers"", ""Kamehameha"", ""Final Trump Card"", ""Battle of Wits"", ""Time Limit""]","[""6022"", ""19875"", ""21875"", ""24475""]","[""5066"", ""16720"", ""18720"", ""22120""]","[""2056"", ""6788"", ""8788"", ""11788""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate and Invincible Fusion,Super Saiyan God SS Vegito,150,20-Jan,LR,Super TEQ,41798,"[""Boost Category"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense"", ""Stun""]","""Final Trump Card"" or ""Potara"" Category Ki +3 and HP, ATK & DEF +150%",Cooperation Between Rivals,Raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Evil-Eradicating Justice,"ATK & DEF +110%; reduces damage received by 25%; high chance[2] of randomly changing Ki Spheres of a certain Type to <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Spheres; Ki +2 in addition per <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Sphere obtained","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Transformation Boost"", ""Time Travelers"", ""Kamehameha"", ""Final Trump Card"", ""Battle of Wits"", ""Time Limit""]","[""6022"", ""19875"", ""21875"", ""24475""]","[""5066"", ""16720"", ""18720"", ""22120""]","[""2056"", ""6788"", ""8788"", ""11788""]",,,,,,,,,,,,,,,,,,,,,,,,,
Joyful Athleticism,Mr. Buu,120,10-Jan,UR,Super TEQ,11866,"[""Boost Category"", ""Boost Type"", ""Disable Guard"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Stack Attack"", ""Stack Defense""]","All Types Ki +2 and HP, ATK & DEF +50%",Cooperation Between Rivals,Raises ATK & DEF for 1 turn[1] and causes colossal damage to enemy,Zero Mortals Plan Begins,"ATK & DEF +120%; reduces damage received by 30%; high chance[2] of randomly changing Ki Spheres of a certain Type to <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Spheres; Ki +2 in addition per <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Sphere obtained; medium chance[3] of launching an additional Super Attack","[""World Tournament"", ""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Worthy Rivals"", ""Majin Power"", ""Power Absorption""]","[""3114"", ""10277"", ""11477"", ""13037""]","[""2249"", ""7423"", ""8623"", ""10663""]","[""1505"", ""4968"", ""6168"", ""7968""]",,,,,,,,,,,,,,,,,,,,,,,,,
Lord of the Demon Realm's Trial by Fire,Dabura,120,10-Jan,UR,Extreme PHY,11868,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Transformation""]","""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +120%",Transcendental Kamehameha,Raises ATK & DEF for 1 turn[1] and causes colossal damage to enemy,Glorious Charge,"Recovers 30% HP (once only); ATK & DEF +150% and attacks effective against all Types; great chance[3] of performing a critical hit; randomly changes Ki Spheres of a certain Type to <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Spheres; Ki +2 in addition per <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Sphere obtained; Ki +5, reduces damage received by 30% and foresees enemy's Super Attack for 5 turns from start of turn; nullifies enemy's melee Super Attack within the same turn when performing an Ultra Super Attack on that enemy","[""Majin Buu Saga"", ""Siblings' Bond"", ""Terrifying Conquerors"", ""Corroded Body and Mind""]","[""2871"", ""9475"", ""11475"", ""14875""]","[""2814"", ""9289"", ""11289"", ""14289""]","[""1340"", ""4423"", ""6423"", ""9023""]",,,,,,,,,,,,,,,,,,,,,,,,,
Creeping Conspiracy,Yamu & Spopovich,120/140,15-Jan,UR,Extreme AGL,11870,"[""Boost Category"", ""Boost Type"", ""Critical Hit"", ""Damage Reduction"", ""Debuff"", ""Evasion"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Transformation""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Full Power Masenko,Raises DEF[1] and causes immense damage with a medium chance of stunning the enemy[2],Saiyans Assemble,"DEF +158%; ATK +158% when performing a Super Attack; plus an additional ATK & DEF +58% when there is another ""Heavenly Events"" Category ally attacking in the same turn; plus an additional ATK +58% and stuns the attacked enemy when performing a Super Attack after receiving attack; all allies' Ki +3 and DEF +58%","[""World Tournament"", ""Majin Buu Saga"", ""Joined Forces"", ""Terrifying Conquerors"", ""Earthlings"", ""Corroded Body and Mind""]","[""2351"", ""7759"", ""8959"", ""10519""]","[""2448"", ""8079"", ""9279"", ""11079""]","[""932"", ""3078"", ""4278"", ""6318""]",,,,,,,,,,,,,,,,,,,,,,,,,
